,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,OTABH,C,KN,activet,0,1,ZZ_ABSTANDSHALTER,F8,1,1,0,C,1,1,KSS,,Farbe,Schwarz Struktur
1,OTABH,C,KN,activet,0,1,ZZ_ABSTANDSHALTER,TYP_ABH,2,1,0,C,1,1,ABH1,,Variante,Linearstellung
2,OTABH,C,KN,activet,0,1,ZZ_ABSTANDSHALTER,TYP_ABH,2,1,0,C,2,0,ABH2,,Variante,Blockstellung
3,OTABH,C,KN,activet,0,1,ZZ_ABSTANDSHALTER,TYP_ABH,2,1,0,C,3,0,ABH3,,Variante,zu Container/Schrank
4,OTADMW12,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,1,1,AM,,Farbe,Anthrazit metallic
5,OTADMW12,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,2,0,AL,,Farbe,Alufarbig
6,OTADMW12,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,3,0,KS,,Farbe,Schwarz
7,OTADMW12,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,4,0,WI,,Farbe,Reinweiß
8,OTADMW14,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,1,1,AM,,Farbe,Anthrazit metallic
9,OTADMW14,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,2,0,AL,,Farbe,Alufarbig
10,OTADMW14,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,3,0,KS,,Farbe,Schwarz
11,OTADMW14,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,4,0,WI,,Farbe,Reinweiß
12,OTADMW16,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,1,1,AM,,Farbe,Anthrazit metallic
13,OTADMW16,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,2,0,AL,,Farbe,Alufarbig
14,OTADMW16,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,3,0,KS,,Farbe,Schwarz
15,OTADMW16,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,4,0,WI,,Farbe,Reinweiß
16,OTADMW18,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,1,1,AM,,Farbe,Anthrazit metallic
17,OTADMW18,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,2,0,AL,,Farbe,Alufarbig
18,OTADMW18,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,3,0,KS,,Farbe,Schwarz
19,OTADMW18,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,4,0,WI,,Farbe,Reinweiß
20,OTADMW20,C,KN,activet,0,1,ZUBEHOER122_B,F2,1,1,0,C,1,1,AM,,Farbe,Anthrazit metallic
