,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,AJAW1GA,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
1,AJAW1GB2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
2,AJAW1RA,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
3,AJAW1RB2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
4,AJBT08080A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
5,AJBT08083B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
6,AJBT08100A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
7,AJBT08103B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
8,AJBT08600A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
9,AJBT08603B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
10,AJBT10100A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
11,AJBT10103B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
12,AJBT10600A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
13,AJBT10603B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
14,AJBT10800A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
15,AJBT10803B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
16,AJBT12080A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
17,AJBT12083B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
18,AJBT12100A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
19,AJBT12103B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
20,AJBT12600A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
21,AJBT12603B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
22,AJBT14070A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
23,AJBT14073B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
24,AJBT14100A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
25,AJBT14103B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
26,AJBT14600A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
27,AJBT14603B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
28,AJBT14770A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
29,AJBT14773B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
30,AJBT14800A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
31,AJBT14803B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
32,AJBT16040A,C,KN,astra,132351,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
33,AJBT16043B2,C,KN,astra,0,1,TISCH05_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
