,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,AYBDN1C,C,KN,auray,0,1,DREHSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
1,AYBDN1L,C,KN,auray,0,1,DREHSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
2,AYBDN1L3,C,KN,auray,0,1,DREHSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
3,AYBDN1L4,C,KN,auray,0,1,DREHSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
4,AYBDN1P,C,KN,auray,0,1,DREHSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
5,AYCSH1C,C,KN,auray,0,1,DREHSTUHL116_C,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
6,AYCSH1L,C,KN,auray,0,1,DREHSTUHL116_C,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
7,AYCSH1L3,C,KN,auray,0,1,DREHSTUHL116_C,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
8,AYCSH1L4,C,KN,auray,0,1,DREHSTUHL116_C,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
9,AYCSH1P,C,KN,auray,0,1,DREHSTUHL116_C,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
10,AYKS1C,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
11,AYKS1L,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
12,AYKS1L3,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
13,AYKS1L4,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
14,AYKS1P,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
15,AYKS2C,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
16,AYKS2L,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
17,AYKS2L3,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
18,AYKS2L4,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
19,AYKS2P,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
20,AYKSH1C,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
21,AYKSH1L,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
22,AYKSH1L3,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
23,AYKSH1L4,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
24,AYKSH1P,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
25,AYKSH2C,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
26,AYKSH2L,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
27,AYKSH2L3,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
28,AYKSH2L4,C,KN,auray,0,1,KSTUHL116_A,STOFFKATEGORIE_1,1,0,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
