,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,BCSS8C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
1,BCSS8L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
2,BCSS8P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
3,BCSS9C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
4,BCSS9L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
5,BCSS9P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,1,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
6,BCSS8C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
7,BCSS8L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
8,BCSS8P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
9,BCSS9C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
10,BCSS9L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
11,BCSS9P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,2,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
12,BCSS8C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
13,BCSS8L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
14,BCSS8P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
15,BCSS9C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
16,BCSS9L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
17,BCSS9P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFKATEGORIE_1,1,1,0,R,3,0,LEDER 3,,Stoffkategorie f. Stuhl,Velourleder
18,BCSS8C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
19,BCSS8L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
20,BCSS8P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
21,BCSS9C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
22,BCSS9L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
23,BCSS9P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR,2,1,0,C,1,1,31,,Stoffgruppe,Schurwolle (31)
24,BCSS8C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR_3,4,0,0,R,1,1,31,,Stoffgruppe Rückenlehne,Schurwolle (31)
25,BCSS8L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR_3,4,0,0,R,1,1,31,,Stoffgruppe Rückenlehne,Schurwolle (31)
26,BCSS8P,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR_3,4,0,0,R,1,1,31,,Stoffgruppe Rückenlehne,Schurwolle (31)
27,BCSS9C,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR_3,4,0,0,R,1,1,31,,Stoffgruppe Rückenlehne,Schurwolle (31)
28,BCSS9L3,C,KN,balancechair,0,1,DREHSTUHL119_A,STOFFGR_3,4,0,0,R,1,1,31,,Stoffgruppe Rückenlehne,Schurwolle (31)
