,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,FARBKONZEPT,1,1,0,C,1,1,DES1,,Farbdesign,Designkonzept 1
1,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,FARBKONZEPT,1,1,0,C,1,1,DES1,,Farbdesign,Designkonzept 1
2,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,FARBKONZEPT,1,1,0,C,2,0,DES2,,Farbdesign,Designkonzept 2
3,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,FARBKONZEPT,1,1,0,C,2,0,DES2,,Farbdesign,Designkonzept 2
4,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F1,2,1,1,C,1,0,7I,,Farbe Platte,Softtouch Beige 0717
5,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F1,2,1,1,C,1,0,7I,,Farbe Platte,Softtouch Beige 0717
6,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F1,2,1,1,C,2,0,7J,,Farbe Platte,Softtouch Grau 0718
7,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F1,2,1,1,C,2,0,7J,,Farbe Platte,Softtouch Grau 0718
8,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F105,3,1,1,C,1,0,LBB,,Farbe Armlehnenauflage,Sattelleder Braun
9,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F105,3,1,1,C,1,0,LBB,,Farbe Armlehnenauflage,Sattelleder Braun
10,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F105,3,1,1,C,2,0,LBS,,Farbe Armlehnenauflage,Sattelleder Schwarz
11,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F105,3,1,1,C,2,0,LBS,,Farbe Armlehnenauflage,Sattelleder Schwarz
12,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F176,4,1,1,C,1,0,KS,,Farbe Elektrifizierung,Schwarz
13,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F176,4,1,1,C,1,0,KS,,Farbe Elektrifizierung,Schwarz
14,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F176,4,1,1,C,2,0,WI,,Farbe Elektrifizierung,Reinweiss RAL 9010
15,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F176,4,1,1,C,2,0,WI,,Farbe Elektrifizierung,Reinweiss RAL 9010
16,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F2,5,1,1,C,1,0,KS,,Farbe Gestell,Schwarz
17,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F2,5,1,1,C,1,0,KS,,Farbe Gestell,Schwarz
18,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F2,5,1,1,C,2,1,WI,,Farbe Gestell,Reinweiss RAL 9010
19,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F2,5,1,1,C,2,1,WI,,Farbe Gestell,Reinweiss RAL 9010
20,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,F93,6,1,1,C,1,0,FLF,,Farbe Filz,Filz Grau
21,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,F93,6,1,1,C,1,0,FLF,,Farbe Filz,Filz Grau
22,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,H_VERSTELL,7,0,0,C,1,0,HV38,,Höhenverstellung,Motorverst. 630-1270 mm
23,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,H_VERSTELL,7,0,0,C,1,0,HV38,,Höhenverstellung,Motorverst. 630-1270 mm
24,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,1,0,WCS0,,Wireless Charger,ohne Wireless Charger
25,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,1,0,WCS0,,Wireless Charger,ohne Wireless Charger
26,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,2,0,WCS1,,Wireless Charger,Charger+Steckd./Zufuhr/Wanne
27,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,2,0,WCS1,,Wireless Charger,Charger+Steckd./Zufuhr/Wanne
28,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,3,0,WCS2,,Wireless Charger,Charger+Steckd./K-Kabel 225mm
29,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,3,0,WCS2,,Wireless Charger,Charger+Steckd./K-Kabel 225mm
30,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,4,0,WCS3,,Wireless Charger,Charger+Steckd./Zufuhr
31,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,4,0,WCS3,,Wireless Charger,Charger+Steckd./Zufuhr
32,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,5,0,WCS4,,Wireless Charger,Wireless Charger
33,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,W_CHARGER,8,0,0,C,5,0,WCS4,,Wireless Charger,Wireless Charger
34,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,KABELWANNE,9,0,0,C,1,0,KW13,,Kabelwanne,"Kabelwanne, klappbar"
35,BOTD24818A,C,KN,balancedesk,122602,1,TISCH125_A,KABELWANNE,9,0,0,C,1,0,KW13,,Kabelwanne,"Kabelwanne, klappbar"
36,BOTD24188A,C,KN,balancedesk,122602,1,TISCH125_A,ABSORBER,10,0,0,C,1,0,ABS2,,Akustikabsorber,Paar Akustikblattabsorber
