,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,OBFL01,1,1,0,C,1,1,ST,,Oberfläche,Stoff
1,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
2,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFKATEGORIE,2,1,0,C,2,0,STAN,,Stoffkategorie,Standard
3,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFKATEGORIE,2,1,0,C,3,0,COMF,,Stoffkategorie,Comfort
4,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFGR,3,1,0,C,1,1,20,,Stoffgruppe,Xtreme FR (20)
5,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFGR,3,1,0,C,2,0,71,,Stoffgruppe,Polyester (71) - 99% Postconsumer-recycelt
6,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFGR,3,1,0,C,3,0,82,,Stoffgruppe,Polyester (82)
7,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFGR,3,1,0,C,4,0,91,,Stoffgruppe,Trevira CS Twist (91)
8,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,STOFFGR,3,1,0,C,5,0,92,,Stoffgruppe,Schurwolle Blazer Lite (92)
9,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,1,0,2025,,Farbe Stoff,2025 Beige
10,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,2,0,2033,,Farbe Stoff,2033 Dunkelgrün
11,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,3,1,2035,,Farbe Stoff,2035 Olivgrün
12,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,4,0,2041,,Farbe Stoff,2041 Mittelblau
13,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,5,0,2046,,Farbe Stoff,2046 Türkisblau
14,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,6,0,2048,,Farbe Stoff,2048 Wasserblau
15,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,7,0,2053,,Farbe Stoff,2053 Hellgrau
16,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,8,0,2061,,Farbe Stoff,2061 Dunkelrot
17,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,9,0,2062,,Farbe Stoff,2062 Schwarz
18,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,10,0,2066,,Farbe Stoff,2066 Kirschrot
19,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,11,0,2068,,Farbe Stoff,2068 Pflaume
20,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,12,0,2070,,Farbe Stoff,2070 Ocker
21,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,13,0,2071,,Farbe Stoff,2071 Gelb
22,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,14,0,2082,,Farbe Stoff,2082 Orange
23,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,15,0,2091,,Farbe Stoff,2091 Anthrazit
24,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,16,0,7125,,Farbe Stoff,7125 Beige
25,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,17,0,7131,,Farbe Stoff,7131 Hellgrün
26,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,18,0,7143,,Farbe Stoff,7143 Hellblau
27,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,19,0,7155,,Farbe Stoff,7155 Dunkelgrau
28,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,20,0,7157,,Farbe Stoff,7157 Grau
29,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,21,0,8225,,Farbe Stoff,8225 Beige
30,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,22,0,8234,,Farbe Stoff,8234 Apfelgrün
31,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,23,0,8242,,Farbe Stoff,8242 Dunkelblau
32,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,24,0,8243,,Farbe Stoff,8243 Hellblau
33,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,25,0,8252,,Farbe Stoff,8252 Mittelgrau
34,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,26,0,8253,,Farbe Stoff,8253 Grau
35,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,27,0,8261,,Farbe Stoff,8261 Rot
36,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,28,0,8267,,Farbe Stoff,8267 Brombeer
37,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,29,0,8270,,Farbe Stoff,8270 Ocker
38,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,30,0,8282,,Farbe Stoff,8282 Orange
39,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,31,0,8291,,Farbe Stoff,8291 Anthrazit
40,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,32,0,9123,,Farbe Stoff,9123 Beige Melange
41,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,33,0,9129,,Farbe Stoff,9129 Dunkelbeige
42,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,34,0,9133,,Farbe Stoff,9133 Dunkelgrün
43,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,35,0,9135,,Farbe Stoff,9135 Olivgrün
44,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,36,0,9141,,Farbe Stoff,9141 Mittelblau
45,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,37,0,9143,,Farbe Stoff,9143 Hellblau
46,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,38,0,9153,,Farbe Stoff,9153 Hellgrau
47,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,39,0,9157,,Farbe Stoff,9157 Grau
48,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,40,0,9160,,Farbe Stoff,9160 Rot
49,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,41,0,9161,,Farbe Stoff,9161 Dunkelrot
50,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,42,0,9225,,Farbe Stoff,9225 Beige
51,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,43,0,9229,,Farbe Stoff,9229 Dunkelbeige
52,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,44,0,9230,,Farbe Stoff,9230 Seegrün
53,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,45,0,9234,,Farbe Stoff,9234 Apfelgrün
54,B4ESBAW,C,KN,basic4bench,0,1,STOFFBLENDE251_A,F7,4,1,0,C,46,0,9240,,Farbe Stoff,9240 Blaugrau
