,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,1,1,NKRLU,,Rückenlehne,K+N NOOK Rücken ungepolstert
1,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,2,0,NKRLP,,Rückenlehne,K+N NOOK Rücken mit Polster
2,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,3,0,NKSRLU,,Rückenlehne,K+N NOOK.SHELL ungepolstert
3,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,4,0,NKSRLP,,Rückenlehne,K+N NOOK.SHELL Polster
4,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,5,0,NKSRLV,,Rückenlehne,K+N NOOK.SHELL Vollpolster
5,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,6,0,OZRLN,,Rückenlehne,OKAY.II Rücken Netz
6,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,7,0,OZRLD,,Rückenlehne,OKAY.II Rücken 3D-Netz
7,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,8,0,OZRLP,,Rückenlehne,OKAY.II Rücken Polster
8,BSCFZC,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,9,0,OZRLG,,Rückenlehne,OKAY.II Rücken geprägt
9,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,1,1,NKRLU,,Rückenlehne,K+N NOOK Rücken ungepolstert
10,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,2,0,NKRLP,,Rückenlehne,K+N NOOK Rücken mit Polster
11,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,3,0,NKSRLU,,Rückenlehne,K+N NOOK.SHELL ungepolstert
12,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,4,0,NKSRLP,,Rückenlehne,K+N NOOK.SHELL Polster
13,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,5,0,NKSRLV,,Rückenlehne,K+N NOOK.SHELL Vollpolster
14,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,6,0,OZRLN,,Rückenlehne,OKAY.II Rücken Netz
15,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,7,0,OZRLD,,Rückenlehne,OKAY.II Rücken 3D-Netz
16,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,8,0,OZRLP,,Rückenlehne,OKAY.II Rücken Polster
17,BSCFZE,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,9,0,OZRLG,,Rückenlehne,OKAY.II Rücken geprägt
18,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,1,1,NKRLU,,Rückenlehne,K+N NOOK Rücken ungepolstert
19,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,2,0,NKRLP,,Rückenlehne,K+N NOOK Rücken mit Polster
20,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,3,0,NKSRLU,,Rückenlehne,K+N NOOK.SHELL ungepolstert
21,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,4,0,NKSRLP,,Rückenlehne,K+N NOOK.SHELL Polster
22,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,5,0,NKSRLV,,Rückenlehne,K+N NOOK.SHELL Vollpolster
23,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,6,0,OZRLN,,Rückenlehne,OKAY.II Rücken Netz
24,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,7,0,OZRLD,,Rückenlehne,OKAY.II Rücken 3D-Netz
25,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,8,0,OZRLP,,Rückenlehne,OKAY.II Rücken Polster
26,BSCFZL,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,9,0,OZRLG,,Rückenlehne,OKAY.II Rücken geprägt
27,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,1,1,NKRLU,,Rückenlehne,K+N NOOK Rücken ungepolstert
28,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,2,0,NKRLP,,Rückenlehne,K+N NOOK Rücken mit Polster
29,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,3,0,NKSRLU,,Rückenlehne,K+N NOOK.SHELL ungepolstert
30,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,4,0,NKSRLP,,Rückenlehne,K+N NOOK.SHELL Polster
31,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,5,0,NKSRLV,,Rückenlehne,K+N NOOK.SHELL Vollpolster
32,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,6,0,OZRLN,,Rückenlehne,OKAY.II Rücken Netz
33,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,7,0,OZRLD,,Rückenlehne,OKAY.II Rücken 3D-Netz
34,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,8,0,OZRLP,,Rückenlehne,OKAY.II Rücken Polster
35,BSCFZP,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,9,0,OZRLG,,Rückenlehne,OKAY.II Rücken geprägt
36,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,1,1,NKRLU,,Rückenlehne,K+N NOOK Rücken ungepolstert
37,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,2,0,NKRLP,,Rückenlehne,K+N NOOK Rücken mit Polster
38,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,3,0,NKSRLU,,Rückenlehne,K+N NOOK.SHELL ungepolstert
39,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,4,0,NKSRLP,,Rückenlehne,K+N NOOK.SHELL Polster
40,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,5,0,NKSRLV,,Rückenlehne,K+N NOOK.SHELL Vollpolster
41,BSCFZS,C,KN,baukastenstuhl,116737,1,K_STUHL,RUECKENLEHNE,1,1,0,C,6,0,OZRLN,,Rückenlehne,OKAY.II Rücken Netz
