,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,ECAS_W6,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,1,1,AL,,Farbe Armlehnenadapter,Alufarbig
1,ECAS_W6,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,2,0,AM,,Farbe Armlehnenadapter,Anthrazit metallic
2,ECAS_W6,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,3,0,KS,,Farbe Armlehnenadapter,Schwarz
3,ECAS_W6,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,4,0,GC,,Farbe Armlehnenadapter,Chrom
4,ECCNZES,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,1,1,AL,,Farbe Armlehnenadapter,Alufarbig
5,ECCNZES,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,2,0,AM,,Farbe Armlehnenadapter,Anthrazit metallic
6,ECCNZES,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,3,0,KS,,Farbe Armlehnenadapter,Schwarz
7,ECCNZES,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,4,0,GC,,Farbe Armlehnenadapter,Chrom
8,ECCNZFE10,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,1,1,AL,,Farbe Armlehnenadapter,Alufarbig
9,ECCNZFE10,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,2,0,AM,,Farbe Armlehnenadapter,Anthrazit metallic
10,ECCNZFE10,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,3,0,KS,,Farbe Armlehnenadapter,Schwarz
11,ECCNZFE10,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,4,0,GC,,Farbe Armlehnenadapter,Chrom
12,ECCNZFE7,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,1,1,AL,,Farbe Armlehnenadapter,Alufarbig
13,ECCNZFE7,C,KN,ecos,0,1,ZUBEHOER_A,F65,1,1,0,C,2,0,AM,,Farbe Armlehnenadapter,Anthrazit metallic
