,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,INDE0411A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
1,INDE0411A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
2,INDE0411A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
3,INDE0411A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
4,INDE0411Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
5,INDE0411Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
6,INDE0411Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
7,INDE0411Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
8,INDE0415A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
9,INDE0415A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
10,INDE0415A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
11,INDE0415A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
12,INDE0415Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
13,INDE0415Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
14,INDE0415Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
15,INDE0415Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
16,INDE0419A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
17,INDE0419A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
18,INDE0419A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
19,INDE0419A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
20,INDE0419Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
21,INDE0419Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
22,INDE0419Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
23,INDE0419Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
24,INDE081115A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
25,INDE081115A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
26,INDE081115A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
27,INDE081115A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
28,INDE081115W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
29,INDE081115W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
30,INDE081115W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
31,INDE081115W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
32,INDE0811Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
33,INDE0811Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
34,INDE0811Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
35,INDE0811Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
36,INDE081519A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
37,INDE081519A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
38,INDE081519A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
39,INDE081519A,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
40,INDE081519W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
41,INDE081519W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,2,0,ST,,Oberfläche Paneel 1,Stoff
42,INDE081519W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,3,0,GL,,Oberfläche Paneel 1,Glas
43,INDE081519W,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,4,0,X1,,Oberfläche Paneel 1,Stoff Wand Schallschluck
44,INDE0815Z,C,KN,inside25,133953,1,ST_WAND83_A,OBFL07,1,0,0,C,1,1,K,,Oberfläche Paneel 1,Kunststoff/Trendkollektion
