,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,1,0,TYP3,,Variante,INSIDE.BASE: Drucker Point (TYP 3)
1,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,1,0,TYP3,,Variante,INSIDE.BASE: Drucker Point (TYP 3)
2,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,1,0,TYP3,,Variante,INSIDE.BASE: Drucker Point (TYP 3)
3,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,2,0,TYP4,,Variante,INSIDE.BASE: Denkerzelle (TYP 4)
4,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,2,0,TYP4,,Variante,INSIDE.BASE: Denkerzelle (TYP 4)
5,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,2,0,TYP4,,Variante,INSIDE.BASE: Denkerzelle (TYP 4)
6,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,3,0,TYP5,,Variante,INSIDE.BASE: Meeting Point (TYP 5)
7,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,3,0,TYP5,,Variante,INSIDE.BASE: Meeting Point (TYP 5)
8,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,VARIANTE,1,0,0,R,3,0,TYP5,,Variante,INSIDE.BASE: Meeting Point (TYP 5)
9,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,VARIANTE,1,0,0,R,1,0,TYP1,,Variante,INSIDE.BASE: Telefonbox (TYP 1)
10,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,VARIANTE,1,0,0,R,1,0,TYP1,,Variante,INSIDE.BASE: Telefonbox (TYP 1)
11,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,VARIANTE,1,0,0,R,2,0,TYP2,,Variante,INSIDE.BASE: Telefonbox Duo (TYP 2)
12,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,VARIANTE,1,0,0,R,2,0,TYP2,,Variante,INSIDE.BASE: Telefonbox Duo (TYP 2)
13,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,OBFL19,2,1,0,R,1,1,ST,,Oberfläche Wand Außen,Stoff
14,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,OBFL19,2,1,0,R,1,1,ST,,Oberfläche Wand Außen,Stoff
15,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,OBFL19,2,1,0,R,1,1,ST,,Oberfläche Wand Außen,Stoff
16,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,OBFL19,2,1,0,R,1,1,ST,,Oberfläche Wand Außen,Stoff
17,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,OBFL19,2,1,0,R,1,1,ST,,Oberfläche Wand Außen,Stoff
18,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,1,1,ECON,,Preisgruppe Stoff Außen,Economy
19,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,1,1,ECON,,Preisgruppe Stoff Außen,Economy
20,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,1,1,ECON,,Preisgruppe Stoff Außen,Economy
21,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,1,1,ECON,,Preisgruppe Stoff Außen,Economy
22,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,1,1,ECON,,Preisgruppe Stoff Außen,Economy
23,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,2,0,STAN,,Preisgruppe Stoff Außen,Standard
24,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,2,0,STAN,,Preisgruppe Stoff Außen,Standard
25,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,2,0,STAN,,Preisgruppe Stoff Außen,Standard
26,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,2,0,STAN,,Preisgruppe Stoff Außen,Standard
27,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,2,0,STAN,,Preisgruppe Stoff Außen,Standard
28,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,3,0,COMF,,Preisgruppe Stoff Außen,Comfort
29,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,3,0,COMF,,Preisgruppe Stoff Außen,Comfort
30,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFKATEGORIE_9,3,1,0,C,3,0,COMF,,Preisgruppe Stoff Außen,Comfort
31,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,3,0,COMF,,Preisgruppe Stoff Außen,Comfort
32,IBPD001,C,KN,insidebase,0,1,BOXEN129_B,STOFFKATEGORIE_9,3,1,0,C,3,0,COMF,,Preisgruppe Stoff Außen,Comfort
33,IBDP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFGR_41,4,1,0,C,1,1,71,,Stoffgr. Stoffblende Außen,Polyester (71) - 99% Postconsumer-recycelt
34,IBDZ001,C,KN,insidebase,0,1,BOXEN129_A,STOFFGR_41,4,1,0,C,1,1,71,,Stoffgr. Stoffblende Außen,Polyester (71) - 99% Postconsumer-recycelt
35,IBMP001,C,KN,insidebase,0,1,BOXEN129_A,STOFFGR_41,4,1,0,C,1,1,71,,Stoffgr. Stoffblende Außen,Polyester (71) - 99% Postconsumer-recycelt
36,IBPB001,C,KN,insidebase,0,1,BOXEN129_B,STOFFGR_41,4,1,0,C,1,1,71,,Stoffgr. Stoffblende Außen,Polyester (71) - 99% Postconsumer-recycelt
