,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,1,1,OHNE,,Deckenleuchte,ohne
1,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,2,0,FOR16001600ONE,,Deckenleuchte,mit 1 Deckenleuchte
2,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,3,0,FOR16001600TWO,,Deckenleuchte,mit 2 Deckenleuchten
3,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,4,0,FOR16002400ONE,,Deckenleuchte,mit 1 Deckenleuchte
4,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,5,0,FOR16002400TWO,,Deckenleuchte,mit 2 Deckenleuchten
5,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,6,0,FOR16002800ONE,,Deckenleuchte,mit 1 Deckenleuchte
6,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,7,0,FOR16002800TWO,,Deckenleuchte,mit 2 Deckenleuchten
7,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,8,0,FOR16003200ONE,,Deckenleuchte,mit 1 Deckenleuchte
8,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,9,0,FOR16003200TWO,,Deckenleuchte,mit 2 Deckenleuchten
9,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,10,0,FOR16003200THREE,,Deckenleuchte,mit 3 Deckenleuchten
10,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,11,0,FOR24002400ONE,,Deckenleuchte,mit 1 Deckenleuchte
11,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,12,0,FOR24002400TWO,,Deckenleuchte,mit 2 Deckenleuchten
12,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,13,0,FOR24002400THREE,,Deckenleuchte,mit 3 Deckenleuchten
13,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,14,0,FOR24002400FOUR,,Deckenleuchte,mit 4 Deckenleuchten
14,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,15,0,FOR24002800ONE,,Deckenleuchte,mit 1 Deckenleuchte
15,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,16,0,FOR24002800TWO,,Deckenleuchte,mit 2 Deckenleuchten
16,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,17,0,FOR24002800THREE,,Deckenleuchte,mit 3 Deckenleuchten
17,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,18,0,FOR24002800FOUR,,Deckenleuchte,mit 4 Deckenleuchten
18,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,19,0,FOR24003200ONE,,Deckenleuchte,mit 1 Deckenleuchte
19,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,20,0,FOR24003200TWO,,Deckenleuchte,mit 2 Deckenleuchten
20,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,21,0,FOR24003200THREE,,Deckenleuchte,mit 3 Deckenleuchten
21,ICDL001,C,KN,insidecube,0,1,ZUBEHOER_A,DECKENLEUCHTE,1,1,0,C,22,0,FOR24003200FOUR,,Deckenleuchte,mit 4 Deckenleuchten
