,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,JZBDC200C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
1,JZBDC200E,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
2,JZBDC200L,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
3,JZBDC200S,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
4,JZBDC2C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
5,JZBDC2E,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
6,JZBDC2L,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
7,JZBDC2S,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
8,JZBDCN1200C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
9,JZBDCN1200E,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
10,JZBDCN1200L,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
11,JZBDCN1200S,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
12,JZBDCN12C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
13,JZBDCN12E,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
14,JZBDCN12L,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
15,JZBDCN12S,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
16,JZBDCND200C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
17,JZBDCND200E,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
18,JZBDCND200L,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
19,JZBDCND200S,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
20,JZBDCND2C,C,KN,jet2,135798,1,DREHSTUHL87_COUNER,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
