,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,LABDHZ200C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
1,LABDHZ200C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
2,LABDHZ200C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
3,LABDHZ200C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
4,LABDHZ200C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
5,LABDHZ200E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
6,LABDHZ200E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
7,LABDHZ200E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
8,LABDHZ200E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
9,LABDHZ200E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
10,LABDHZ200L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
11,LABDHZ200L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
12,LABDHZ200L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
13,LABDHZ200L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
14,LABDHZ200L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
15,LABDHZ200P,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
16,LABDHZ200P,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
17,LABDHZ200P,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
18,LABDHZ200P,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
19,LABDHZ200P,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
20,LABDHZ200S,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
21,LABDHZ200S,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
22,LABDHZ200S,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
23,LABDHZ200S,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
24,LABDHZ200S,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
25,LABDHZ2C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
26,LABDHZ2C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
27,LABDHZ2C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
28,LABDHZ2C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
29,LABDHZ2C,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
30,LABDHZ2E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
31,LABDHZ2E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
32,LABDHZ2E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
33,LABDHZ2E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,4,0,PREMIUM,,Stoffkategorie f. Stuhl,Premium
34,LABDHZ2E,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,5,0,LEDER,,Stoffkategorie f. Stuhl,Leder Exklusiv
35,LABDHZ2L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
36,LABDHZ2L,C,KN,lamiga,0,1,DREHSTUHL86_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
