,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFKATEGORIE_7,1,1,0,C,1,1,ECON,,Stoffkategorie Baldachin,Economy
1,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFKATEGORIE_7,1,1,0,C,2,0,STAN,,Stoffkategorie Baldachin,Standard
2,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFKATEGORIE_7,1,1,0,C,3,0,COMF,,Stoffkategorie Baldachin,Comfort
3,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFKATEGORIE_7,1,1,0,C,4,0,PREM,,Stoffkategorie Baldachin,Premium
4,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,1,0,11,,"Stoffgruppe Baldachin, außen",Trevira CS Laser J (11)
5,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,2,1,13,,"Stoffgruppe Baldachin, außen",Polyester (13) - 99% Postconsumer-recycelt
6,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,3,0,14,,"Stoffgruppe Baldachin, außen",Polyester (14)
7,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,4,0,20,,"Stoffgruppe Baldachin, außen",Xtreme FR (20)
8,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,5,0,28,,"Stoffgruppe Baldachin, außen",Neuseelandwolle Fame (28)
9,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,6,0,31,,"Stoffgruppe Baldachin, außen",Schurwolle (31)
10,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,7,0,42,,"Stoffgruppe Baldachin, außen",Schurwolle Hallingdal (42)
11,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,8,0,46,,"Stoffgruppe Baldachin, außen",Schurwolle (46)
12,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,STOFFGR_47,2,1,0,C,9,0,49,,"Stoffgruppe Baldachin, außen",Schurwolle/Nylon (49)
13,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,1,0,1125,,"Farbe Baldachin, außen",1125 Beige
14,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,2,0,1128,,"Farbe Baldachin, außen",1128 Hellbeige
15,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,3,0,1133,,"Farbe Baldachin, außen",1133 Dunkelgrün
16,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,4,0,1134,,"Farbe Baldachin, außen",1134 Apfelgrün
17,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,5,0,1135,,"Farbe Baldachin, außen",1135 Olivgrün
18,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,6,0,1142,,"Farbe Baldachin, außen",1142 Dunkelblau
19,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,7,0,1146,,"Farbe Baldachin, außen",1146 Türkisblau
20,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,8,0,1148,,"Farbe Baldachin, außen",1148 Wasserblau
21,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,9,0,1153,,"Farbe Baldachin, außen",1153 Hellgrau
22,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,10,0,1160,,"Farbe Baldachin, außen",1160 Rot
23,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,11,0,1167,,"Farbe Baldachin, außen",1167 Brombeer
24,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,12,0,1170,,"Farbe Baldachin, außen",1170 Ocker
25,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,13,0,1171,,"Farbe Baldachin, außen",1171 Gelb
26,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,14,0,1182,,"Farbe Baldachin, außen",1182 Orange
27,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,15,0,1191,,"Farbe Baldachin, außen",1191 Anthrazit
28,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,16,0,1325,,"Farbe Baldachin, außen",1325 Beige
29,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,17,0,1331,,"Farbe Baldachin, außen",1331 Hellgrün
30,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,18,1,1332,,"Farbe Baldachin, außen",1332 Grün
31,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,19,0,1339,,"Farbe Baldachin, außen",1339 Blau
32,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,20,0,1343,,"Farbe Baldachin, außen",1343 Hellblau
33,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,21,0,1355,,"Farbe Baldachin, außen",1355 Dunkelgrau
34,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,22,0,1357,,"Farbe Baldachin, außen",1357 Grau
35,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,23,0,1360,,"Farbe Baldachin, außen",1360 Rot
36,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,24,0,1362,,"Farbe Baldachin, außen",1362 Schwarz
37,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,25,0,1371,,"Farbe Baldachin, außen",1371 Gelb
38,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,26,0,1425,,"Farbe Baldachin, außen",1425 Beige
39,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,27,0,1430,,"Farbe Baldachin, außen",1430 Seegrün
40,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,28,0,1434,,"Farbe Baldachin, außen",1434 Apfelgrün
41,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,29,0,1442,,"Farbe Baldachin, außen",1442 Dunkelblau
42,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,30,0,1443,,"Farbe Baldachin, außen",1443 Hellblau
43,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,31,0,1447,,"Farbe Baldachin, außen",1447 Petrolblau
44,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,32,0,1453,,"Farbe Baldachin, außen",1453 Grau
45,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,33,0,1461,,"Farbe Baldachin, außen",1461 Rot
46,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,34,0,1462,,"Farbe Baldachin, außen",1462 Schwarz
47,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,35,0,1467,,"Farbe Baldachin, außen",1467 Brombeer
48,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,36,0,1470,,"Farbe Baldachin, außen",1470 Ocker
49,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,37,0,1471,,"Farbe Baldachin, außen",1471 Gelb
50,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,38,0,1482,,"Farbe Baldachin, außen",1482 Orange
51,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,39,0,1485,,"Farbe Baldachin, außen",1485 Rose
52,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,40,0,1491,,"Farbe Baldachin, außen",1491 Anthrazit
53,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,41,0,2025,,"Farbe Baldachin, außen",2025 Beige
54,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,42,0,2033,,"Farbe Baldachin, außen",2033 Dunkelgrün
55,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,43,0,2035,,"Farbe Baldachin, außen",2035 Olivgrün
56,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,44,0,2041,,"Farbe Baldachin, außen",2041 Mittelblau
57,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,45,0,2046,,"Farbe Baldachin, außen",2046 Türkisblau
58,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,46,0,2048,,"Farbe Baldachin, außen",2048 Wasserblau
59,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,47,0,2053,,"Farbe Baldachin, außen",2053 Hellgrau
60,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,48,0,2061,,"Farbe Baldachin, außen",2061 Dunkelrot
61,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,49,0,2062,,"Farbe Baldachin, außen",2062 Schwarz
62,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,50,0,2066,,"Farbe Baldachin, außen",2066 Kirschrot
63,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,51,0,2068,,"Farbe Baldachin, außen",2068 Pflaume
64,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,52,0,2070,,"Farbe Baldachin, außen",2070 Ocker
65,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,53,0,2071,,"Farbe Baldachin, außen",2071 Gelb
66,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,54,0,2082,,"Farbe Baldachin, außen",2082 Orange
67,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,55,0,2091,,"Farbe Baldachin, außen",2091 Anthrazit
68,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,56,0,2829,,"Farbe Baldachin, außen",2829 Dunkelbeige
69,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,57,0,2833,,"Farbe Baldachin, außen",2833 Dunkelgrün
70,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,58,0,2834,,"Farbe Baldachin, außen",2834 Apfelgrün
71,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,59,0,2842,,"Farbe Baldachin, außen",2842 Dunkelblau
72,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,60,0,2846,,"Farbe Baldachin, außen",2846 Türkisblau
73,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,61,0,2853,,"Farbe Baldachin, außen",2853 Hellgrau
74,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,62,0,2860,,"Farbe Baldachin, außen",2860 Rot
75,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,63,0,2862,,"Farbe Baldachin, außen",2862 Schwarz
76,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,64,0,2882,,"Farbe Baldachin, außen",2882 Orange
77,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,65,0,2885,,"Farbe Baldachin, außen",2885 Rose
78,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,66,0,2891,,"Farbe Baldachin, außen",2891 Anthrazit
79,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,67,0,3121,,"Farbe Baldachin, außen",3121 Dunkelbeige Melange
80,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,68,0,3123,,"Farbe Baldachin, außen",3123 Beige Melange
81,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,69,0,3131,,"Farbe Baldachin, außen",3131 Hellgrün
82,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,70,0,3143,,"Farbe Baldachin, außen",3143 Hellblau
83,LSBALDA1716W,C,KN,lifes_camping,0,1,BALDACHIN120_A,F198,3,1,0,C,71,0,3146,,"Farbe Baldachin, außen",3146 Türkisblau
