,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,OBFL02,1,1,0,C,1,0,K,,Oberfläche Abdeckplatte,Kunststoff
1,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,1,1,GK,,Farbe Platte,Grau
2,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,2,0,GW,,Farbe Platte,Grauweiß
3,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,3,0,KH,,Farbe Platte,Lichtgrau
4,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,4,0,KT,,Farbe Platte,Alufarbig Kunststoff
5,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,5,0,MA,,Farbe Platte,Anthrazit
6,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,6,0,SC,,Farbe Platte,Schwarz
7,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,7,0,WI,,Farbe Platte,Reinweiß
8,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,8,0,UM,,Farbe Platte,Uni Melange
9,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,9,0,AA,,Farbe Platte,Akazie
10,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,10,0,AO,,Farbe Platte,Ahorn
11,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,11,0,MB,,Farbe Platte,Buche
12,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,12,0,NM,,Farbe Platte,Nussbaum
13,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,13,0,ET,,Farbe Platte,Eiche Natur
14,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,14,0,UL,,Farbe Platte,Ulme
15,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,15,0,7I,,Farbe Platte,Softtouch Beige
16,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,16,0,7J,,Farbe Platte,Softtouch Grau
17,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,17,0,7M,,Farbe Platte,Softtouch Weiß
18,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,18,0,7V,,Farbe Platte,Softtouch Schwarz
19,S8ADP04060A,C,KN,locker,36692,1,ABDECKPLATTE84_A,F1_S8,2,1,0,C,19,0,9L,,Farbe Platte,"Eiche HALIFAX, natur"
