,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,MI2ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,1,1,TYP1,,Variante MEET.IN,für 2-Personen mit Rückwand
1,MI2ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,2,0,TYP2,,Variante MEET.IN,für 2-Personen ohne Rückwand
2,MI2ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,3,0,TYP1_4,,Variante MEET.IN,für 4-Personen mit Rückwand
3,MI2ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,4,0,TYP2_4,,Variante MEET.IN,für 4-Personen ohne Rückwand
4,MI2ST02,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,1,1,TYP1,,Variante MEET.IN,für 2-Personen mit Rückwand
5,MI2ST02,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,2,0,TYP2,,Variante MEET.IN,für 2-Personen ohne Rückwand
6,MI2ST02,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,3,0,TYP1_4,,Variante MEET.IN,für 4-Personen mit Rückwand
7,MI2ST02,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,4,0,TYP2_4,,Variante MEET.IN,für 4-Personen ohne Rückwand
8,MI4ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,1,1,TYP1,,Variante MEET.IN,für 2-Personen mit Rückwand
9,MI4ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,2,0,TYP2,,Variante MEET.IN,für 2-Personen ohne Rückwand
10,MI4ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,3,0,TYP1_4,,Variante MEET.IN,für 4-Personen mit Rückwand
11,MI4ST01,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,4,0,TYP2_4,,Variante MEET.IN,für 4-Personen ohne Rückwand
12,MI4ST02,C,KN,meetin,18487,1,MEETIN139_A,VARIANTE_MI,1,1,0,R,1,1,TYP1,,Variante MEET.IN,für 2-Personen mit Rückwand
