,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,MOBESCHLAGM,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
1,MOTZKAKLA,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
2,MOZEDSD1,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
3,MOZEKFK,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
4,MOZEKK2,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
5,MOZEKK40,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
6,MOZESZ,C,KN,memo,0,1,ZUBEHOER_A,MODELL,1,1,0,R,1,0,MO,,Modell,MEMO.S
7,MOBT12770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
8,MOBT12770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
9,MOBT12770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
10,MOBT12770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
11,MOBT12773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
12,MOBT12773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
13,MOBT12773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
14,MOBT12773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
15,MOBT14770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
16,MOBT14770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
17,MOBT14770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
18,MOBT14770A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
19,MOBT14773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
20,MOBT14773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
21,MOBT14773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
22,MOBT14773B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
23,MOBT16110A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
24,MOBT16110A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
25,MOBT16110A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
26,MOBT16110A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
27,MOBT16113B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
28,MOBT16113B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
29,MOBT16113B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
30,MOBT16113B2,C,KN,memo,0,1,TISCH42_A,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
31,MOBT16880A,C,KN,memo,137568,1,TISCH42_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
