,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,F125,1,1,0,C,1,0,BH,,Farbe Schale,Buche ungebeizt
1,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,F125,1,1,0,C,2,0,WI,,Farbe Schale,Weiß
2,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,F125,1,1,0,C,1,0,BH,,Farbe Schale,Buche ungebeizt
3,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,F125,1,1,0,C,2,0,WI,,Farbe Schale,Weiß
4,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,F103,2,1,0,C,1,1,GC,,Farbe Stuhl-Gestell,Chrom
5,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,F103,2,1,0,C,1,1,GC,,Farbe Stuhl-Gestell,Chrom
6,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,1,1,AL0,,Armlehnen,ohne Armlehnen
7,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,2,0,AL37,,Armlehnen,"Armlehnenpaar, hinten offen"
8,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,3,0,AL38,,Armlehnen,"Armlehnenpaar, nach vorne offen zum Einhängen an Tischplatte"
9,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,1,1,AL0,,Armlehnen,ohne Armlehnen
10,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,2,0,AL37,,Armlehnen,"Armlehnenpaar, hinten offen"
11,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,ARMLEHNEN,3,1,0,C,3,0,AL38,,Armlehnen,"Armlehnenpaar, nach vorne offen zum Einhängen an Tischplatte"
12,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,F104,4,1,0,C,1,1,GC,,Farbe Armlehnen,Chrom
13,MYBKHS0,C,KN,moveme,135209,1,BESUCHERSTUHL108_A,F104,4,1,0,C,1,1,GC,,Farbe Armlehnen,Chrom
14,MYBKDS0,C,KN,moveme,135207,1,BESUCHERSTUHL108_A,KLAPPTABLAR,5,1,0,C,1,1,KL0,,Klapptablar,ohne Klapptablar
