,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,1,1,AM,,Farbe Armlehnenadapter,Anthrazit metallic
1,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,1,1,AM,,Farbe Armlehnenadapter,Anthrazit metallic
2,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,1,1,AM,,Farbe Armlehnenadapter,Anthrazit metallic
3,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,1,1,AM,,Farbe Armlehnenadapter,Anthrazit metallic
4,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,2,1,KS,,Farbe Armlehnenadapter,Schwarz
5,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,2,1,KS,,Farbe Armlehnenadapter,Schwarz
6,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,2,1,KS,,Farbe Armlehnenadapter,Schwarz
7,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,2,1,KS,,Farbe Armlehnenadapter,Schwarz
8,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,3,1,AL,,Farbe Armlehnenadapter,Alufarbig
9,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,3,1,AL,,Farbe Armlehnenadapter,Alufarbig
10,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,3,1,AL,,Farbe Armlehnenadapter,Alufarbig
11,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,3,1,AL,,Farbe Armlehnenadapter,Alufarbig
12,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,4,1,GC,,Farbe Armlehnenadapter,Chrom
13,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,4,1,GC,,Farbe Armlehnenadapter,Chrom
14,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,4,1,GC,,Farbe Armlehnenadapter,Chrom
15,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,F65,3,0,1,R,4,1,GC,,Farbe Armlehnenadapter,Chrom
16,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,1,1,GW,,Sonderfarbe Armlehnenadapter,Grauweiß
17,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,1,1,GW,,Sonderfarbe Armlehnenadapter,Grauweiß
18,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,1,1,GW,,Sonderfarbe Armlehnenadapter,Grauweiß
19,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,1,1,GW,,Sonderfarbe Armlehnenadapter,Grauweiß
20,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,2,1,GG,,Sonderfarbe Armlehnenadapter,Grau GST
21,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,2,1,GG,,Sonderfarbe Armlehnenadapter,Grau GST
22,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,2,1,GG,,Sonderfarbe Armlehnenadapter,Grau GST
23,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,2,1,GG,,Sonderfarbe Armlehnenadapter,Grau GST
24,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,3,1,RR,,Sonderfarbe Armlehnenadapter,Rubinrot               RAL3003
25,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,3,1,RR,,Sonderfarbe Armlehnenadapter,Rubinrot               RAL3003
26,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,3,1,RR,,Sonderfarbe Armlehnenadapter,Rubinrot               RAL3003
27,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,3,1,RR,,Sonderfarbe Armlehnenadapter,Rubinrot               RAL3003
28,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,4,1,SB,,Sonderfarbe Armlehnenadapter,Stahlblau              RAL5011
29,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,4,1,SB,,Sonderfarbe Armlehnenadapter,Stahlblau              RAL5011
30,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,4,1,SB,,Sonderfarbe Armlehnenadapter,Stahlblau              RAL5011
31,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,4,1,SB,,Sonderfarbe Armlehnenadapter,Stahlblau              RAL5011
32,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,5,1,BL,,Sonderfarbe Armlehnenadapter,Ultramarinblau         RAL5002
33,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,5,1,BL,,Sonderfarbe Armlehnenadapter,Ultramarinblau         RAL5002
34,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,5,1,BL,,Sonderfarbe Armlehnenadapter,Ultramarinblau         RAL5002
35,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,5,1,BL,,Sonderfarbe Armlehnenadapter,Ultramarinblau         RAL5002
36,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,6,1,WB,,Sonderfarbe Armlehnenadapter,Wasserblau             RAL5021
37,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,6,1,WB,,Sonderfarbe Armlehnenadapter,Wasserblau             RAL5021
38,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,6,1,WB,,Sonderfarbe Armlehnenadapter,Wasserblau             RAL5021
39,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,6,1,WB,,Sonderfarbe Armlehnenadapter,Wasserblau             RAL5021
40,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,7,1,GE,,Sonderfarbe Armlehnenadapter,Gelb                   RAL1021
41,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,7,1,GE,,Sonderfarbe Armlehnenadapter,Gelb                   RAL1021
42,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,7,1,GE,,Sonderfarbe Armlehnenadapter,Gelb                   RAL1021
43,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,7,1,GE,,Sonderfarbe Armlehnenadapter,Gelb                   RAL1021
44,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,8,1,HM,,Sonderfarbe Armlehnenadapter,Hellblau metallic
45,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,8,1,HM,,Sonderfarbe Armlehnenadapter,Hellblau metallic
46,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,8,1,HM,,Sonderfarbe Armlehnenadapter,Hellblau metallic
47,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,8,1,HM,,Sonderfarbe Armlehnenadapter,Hellblau metallic
48,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,9,1,BG,,Sonderfarbe Armlehnenadapter,Blaugrün               RAL6004
49,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,9,1,BG,,Sonderfarbe Armlehnenadapter,Blaugrün               RAL6004
50,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,9,1,BG,,Sonderfarbe Armlehnenadapter,Blaugrün               RAL6004
51,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,9,1,BG,,Sonderfarbe Armlehnenadapter,Blaugrün               RAL6004
52,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,10,1,VI,,Sonderfarbe Armlehnenadapter,Violett                RAL4003
53,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,10,1,VI,,Sonderfarbe Armlehnenadapter,Violett                RAL4003
54,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,10,1,VI,,Sonderfarbe Armlehnenadapter,Violett                RAL4003
55,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,10,1,VI,,Sonderfarbe Armlehnenadapter,Violett                RAL4003
56,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,11,1,LI,,Sonderfarbe Armlehnenadapter,Lichtgrün              RAL6027
57,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,11,1,LI,,Sonderfarbe Armlehnenadapter,Lichtgrün              RAL6027
58,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,11,1,LI,,Sonderfarbe Armlehnenadapter,Lichtgrün              RAL6027
59,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,11,1,LI,,Sonderfarbe Armlehnenadapter,Lichtgrün              RAL6027
60,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,12,1,GD,,Sonderfarbe Armlehnenadapter,Dunkelbraun
61,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,12,1,GD,,Sonderfarbe Armlehnenadapter,Dunkelbraun
62,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,12,1,GD,,Sonderfarbe Armlehnenadapter,Dunkelbraun
63,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,12,1,GD,,Sonderfarbe Armlehnenadapter,Dunkelbraun
64,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,13,1,DG,,Sonderfarbe Armlehnenadapter,Daimler Benz Grau      RAL7037
65,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,13,1,DG,,Sonderfarbe Armlehnenadapter,Daimler Benz Grau      RAL7037
66,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,13,1,DG,,Sonderfarbe Armlehnenadapter,Daimler Benz Grau      RAL7037
67,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,13,1,DG,,Sonderfarbe Armlehnenadapter,Daimler Benz Grau      RAL7037
68,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,14,1,ZC,,Sonderfarbe Armlehnenadapter,RAL 9007
69,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,14,1,ZC,,Sonderfarbe Armlehnenadapter,RAL 9007
70,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,14,1,ZC,,Sonderfarbe Armlehnenadapter,RAL 9007
71,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,14,1,ZC,,Sonderfarbe Armlehnenadapter,RAL 9007
72,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,15,1,ZT,,Sonderfarbe Armlehnenadapter,RAL 7035
73,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,15,1,ZT,,Sonderfarbe Armlehnenadapter,RAL 7035
74,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,15,1,ZT,,Sonderfarbe Armlehnenadapter,RAL 7035
75,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,15,1,ZT,,Sonderfarbe Armlehnenadapter,RAL 7035
76,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,16,1,ZZ,,Sonderfarbe Armlehnenadapter,RAL 7016
77,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,16,1,ZZ,,Sonderfarbe Armlehnenadapter,RAL 7016
78,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,16,1,ZZ,,Sonderfarbe Armlehnenadapter,RAL 7016
79,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,16,1,ZZ,,Sonderfarbe Armlehnenadapter,RAL 7016
80,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,17,1,MA,,Sonderfarbe Armlehnenadapter,Anthrazit
81,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,17,1,MA,,Sonderfarbe Armlehnenadapter,Anthrazit
82,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,17,1,MA,,Sonderfarbe Armlehnenadapter,Anthrazit
83,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,17,1,MA,,Sonderfarbe Armlehnenadapter,Anthrazit
84,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,18,1,GK,,Sonderfarbe Armlehnenadapter,Grau gepulvert
85,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,18,1,GK,,Sonderfarbe Armlehnenadapter,Grau gepulvert
86,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,18,1,GK,,Sonderfarbe Armlehnenadapter,Grau gepulvert
87,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,18,1,GK,,Sonderfarbe Armlehnenadapter,Grau gepulvert
88,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,19,1,RAL1013,,Sonderfarbe Armlehnenadapter,Perlweiß
89,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,19,1,RAL1013,,Sonderfarbe Armlehnenadapter,Perlweiß
90,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,19,1,RAL1013,,Sonderfarbe Armlehnenadapter,Perlweiß
91,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,19,1,RAL1013,,Sonderfarbe Armlehnenadapter,Perlweiß
92,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,20,1,RAL1017,,Sonderfarbe Armlehnenadapter,Safrangelb
93,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,20,1,RAL1017,,Sonderfarbe Armlehnenadapter,Safrangelb
94,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,20,1,RAL1017,,Sonderfarbe Armlehnenadapter,Safrangelb
95,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,20,1,RAL1017,,Sonderfarbe Armlehnenadapter,Safrangelb
96,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,21,1,RAL1019,,Sonderfarbe Armlehnenadapter,Graubeige
97,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,21,1,RAL1019,,Sonderfarbe Armlehnenadapter,Graubeige
98,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,21,1,RAL1019,,Sonderfarbe Armlehnenadapter,Graubeige
99,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,21,1,RAL1019,,Sonderfarbe Armlehnenadapter,Graubeige
100,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,22,1,RAL1020,,Sonderfarbe Armlehnenadapter,Olivgelb
101,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,22,1,RAL1020,,Sonderfarbe Armlehnenadapter,Olivgelb
102,MXZESDKL3,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,22,1,RAL1020,,Sonderfarbe Armlehnenadapter,Olivgelb
103,MXZESDKLB1,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,22,1,RAL1020,,Sonderfarbe Armlehnenadapter,Olivgelb
104,MX5EZR02,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,23,1,RAL1023,,Sonderfarbe Armlehnenadapter,Verkehrsgelb
105,MXPLVERB,C,KN,movemedesk,0,1,ZUBEHOER_A,SF65,4,0,0,R,23,1,RAL1023,,Sonderfarbe Armlehnenadapter,Verkehrsgelb
