,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,F125,1,1,0,C,1,1,WD,,Farbe Schale,Decor Weiß
1,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,F125,1,1,0,C,1,1,WD,,Farbe Schale,Decor Weiß
2,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,F125,1,1,0,C,1,1,WD,,Farbe Schale,Decor Weiß
3,MMBARGD0,C,KN,movemix,0,1,BARHOCKER121_WD,F125,1,1,0,C,1,1,WD,,Farbe Schale,Decor Weiß
4,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,1,1,EIL,,Farbe Stuhl-Gestell,Echtholz Eiche
5,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,2,0,GC,,Farbe Stuhl-Gestell,Chrom
6,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,3,0,KSS,,Farbe Stuhl-Gestell,Schwarz/Strukturlack
7,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,1,1,EIL,,Farbe Stuhl-Gestell,Echtholz Eiche
8,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,2,0,GC,,Farbe Stuhl-Gestell,Chrom
9,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,3,0,KSS,,Farbe Stuhl-Gestell,Schwarz/Strukturlack
10,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,1,1,EIL,,Farbe Stuhl-Gestell,Echtholz Eiche
11,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,2,0,GC,,Farbe Stuhl-Gestell,Chrom
12,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,3,0,KSS,,Farbe Stuhl-Gestell,Schwarz/Strukturlack
13,MMBARGD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,1,1,EIL,,Farbe Stuhl-Gestell,Echtholz Eiche
14,MMBARGD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,2,0,GC,,Farbe Stuhl-Gestell,Chrom
15,MMBARGD0,C,KN,movemix,0,1,BARHOCKER121_WD,F103,2,1,0,C,3,0,KSS,,Farbe Stuhl-Gestell,Schwarz/Strukturlack
16,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,1,0,GL16,,Gleitersatz,Gleiter für Teppichboden
17,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,2,0,GL15,,Gleitersatz,Filzgleiter für Hartboden
18,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,3,0,GL17,,Gleitersatz,Gleiter für Teppichboden
19,MMBAR4GD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,4,0,GL18,,Gleitersatz,Filzgleiter für Hartboden
20,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,1,0,GL16,,Gleitersatz,Gleiter für Teppichboden
21,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,2,0,GL15,,Gleitersatz,Filzgleiter für Hartboden
22,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,3,0,GL17,,Gleitersatz,Gleiter für Teppichboden
23,MMBAR4HD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,4,0,GL18,,Gleitersatz,Filzgleiter für Hartboden
24,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,1,0,GL16,,Gleitersatz,Gleiter für Teppichboden
25,MMBARD0,C,KN,movemix,0,1,BARHOCKER121_WD,GLEITER,3,1,0,C,2,0,GL15,,Gleitersatz,Filzgleiter für Hartboden
