,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,NEABA12030C,C,KN,networkplace,0,1,AUFSATZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
1,NEABA12030E,C,KN,networkplace,0,1,AUFSATZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
2,NEABA12030P,C,KN,networkplace,0,1,AUFSATZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
3,NEABA12030S,C,KN,networkplace,0,1,AUFSATZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
4,NEAKA0800C,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
5,NEAKA0800E,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
6,NEAKA0800P,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
7,NEAKA0800S,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
8,NEAKA1600C,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
9,NEAKA1600E,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
10,NEAKA1600P,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
11,NEAKA1600S,C,KN,networkplace,0,1,AUFSATZ85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
12,NEARMLC,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
13,NEARMLE,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
14,NEARMLP,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
15,NEARMLS,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
16,NESABS154C,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
17,NESABS154E,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
18,NESABS154P,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
19,NESABS154S,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
20,NESABS192C,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
21,NESABS192E,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
22,NESABS192P,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
23,NESABS192S,C,KN,networkplace,0,1,ZUBEHOER85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
24,NEASE80072C,C,KN,networkplace,0,1,ANBAU85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
25,NEASE80072E,C,KN,networkplace,0,1,ANBAU85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
26,NEASE80072P,C,KN,networkplace,0,1,ANBAU85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
27,NEASE80072S,C,KN,networkplace,0,1,ANBAU85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
28,NEBANK12060C,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
29,NEBANK12060E,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
30,NEBANK12060P,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
31,NEBANK12060S,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
32,NEBANK16060C,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
33,NEBANK16060E,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
34,NEBANK16060P,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
35,NEBANK16060S,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
36,NEBANK24060C,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
37,NEBANK24060E,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
38,NEBANK24060P,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
39,NEBANK24060S,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
40,NEBANK4040C,C,KN,networkplace,0,1,SITZBANK85_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
