,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,ODBDHP200C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
1,ODBDHP200C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
2,ODBDHP200C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
3,ODBDHP200C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
4,ODBDHP200E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
5,ODBDHP200E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
6,ODBDHP200E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
7,ODBDHP200E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
8,ODBDHP200L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
9,ODBDHP200L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
10,ODBDHP200L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
11,ODBDHP200L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
12,ODBDHP200S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
13,ODBDHP200S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
14,ODBDHP200S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
15,ODBDHP200S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
16,ODBDHP20C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
17,ODBDHP20C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
18,ODBDHP20C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
19,ODBDHP20C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
20,ODBDHP20E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
21,ODBDHP20E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
22,ODBDHP20E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
23,ODBDHP20E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
24,ODBDHP20L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
25,ODBDHP20L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
26,ODBDHP20L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
27,ODBDHP20L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
28,ODBDHP20S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
29,ODBDHP20S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
30,ODBDHP20S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
31,ODBDHP20S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
32,ODBDHP2C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
33,ODBDHP2C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
34,ODBDHP2C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
35,ODBDHP2C,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
36,ODBDHP2E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
37,ODBDHP2E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
38,ODBDHP2E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
39,ODBDHP2E,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
40,ODBDHP2L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
41,ODBDHP2L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,2,0,STANDARD,,Stoffkategorie f. Stuhl,Standard
42,ODBDHP2L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,3,0,COMFORT,,Stoffkategorie f. Stuhl,Comfort
43,ODBDHP2L,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,4,0,LEDER,,Stoffkategorie f. Stuhl,Leder
44,ODBDHP2S,C,KN,okay3,116265,1,DREHSTUHL130_A,STOFFKATEGORIE_1,1,0,0,R,1,1,ECONOMY,,Stoffkategorie f. Stuhl,Economy
