,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,PDAPL1680A,C,KN,podeste,135400,1,PODESTE131_B,OBFL01,1,1,0,C,1,1,WHB,,Oberfläche,Whiteboard
1,PDTPL1680A,C,KN,podeste,135403,1,PODESTE131_B,OBFL01,1,1,0,C,1,1,WHB,,Oberfläche,Whiteboard
2,PDAPL1680A,C,KN,podeste,135400,1,PODESTE131_B,GLEITER,2,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
3,PDTPL1680A,C,KN,podeste,135403,1,PODESTE131_B,GLEITER,2,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
4,PDMOD0404,C,KN,podeste,135402,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
5,PDMOD0804,C,KN,podeste,135402,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
6,PDMOD1204,C,KN,podeste,0,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
7,PDMOD1208,C,KN,podeste,0,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
8,PDMOD1212,C,KN,podeste,0,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
9,PDMODA0404,C,KN,podeste,135401,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
10,PDMODA0804,C,KN,podeste,135401,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
11,PDMODA1204,C,KN,podeste,0,1,PODESTE131_A,GLEITER,3,1,0,C,1,1,GL1,,Gleiter/Verbinder,mit Gleitern/Verbindern
12,PDAPL1680A,C,KN,podeste,135400,1,PODESTE131_B,F8,4,1,0,C,1,1,WI,,Farbe Whiteboard-Halterung,Reinweiß
13,PDTPL1680A,C,KN,podeste,135403,1,PODESTE131_B,F8,4,1,0,C,1,1,WI,,Farbe Whiteboard-Halterung,Reinweiß
14,PDZHAL,C,KN,podeste,0,1,ZUBEHOER131_C,F8,1,1,1,C,1,1,WI,,Farbe Zubehör,Reinweiß
15,PDAPL1680A,C,KN,podeste,135400,1,PODESTE131_B,F8,4,1,0,C,2,0,KSS,,Farbe Whiteboard-Halterung,Schwarz Struktur
16,PDTPL1680A,C,KN,podeste,135403,1,PODESTE131_B,F8,4,1,0,C,2,0,KSS,,Farbe Whiteboard-Halterung,Schwarz Struktur
17,PDZHAL,C,KN,podeste,0,1,ZUBEHOER131_C,F8,1,1,1,C,2,0,KSS,,Farbe Zubehör,Schwarz Struktur
18,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,1,1,ECON,,Stoffkategorie,Economy
19,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,1,1,ECON,,Stoffkategorie,Economy
20,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,1,1,ECON,,Stoffkategorie,Economy
21,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,2,0,STAN,,Stoffkategorie,Standard
22,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,2,0,STAN,,Stoffkategorie,Standard
23,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,2,0,STAN,,Stoffkategorie,Standard
24,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,3,0,COMF,,Stoffkategorie,Comfort
25,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,3,0,COMF,,Stoffkategorie,Comfort
26,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFKATEGORIE,1,0,0,C,3,0,COMF,,Stoffkategorie,Comfort
27,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,1,1,13,,Stoffgruppe,Polyester (13) - 100% Postconsumer-recycelt
28,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,1,1,13,,Stoffgruppe,Polyester (13) - 100% Postconsumer-recycelt
29,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,1,1,13,,Stoffgruppe,Polyester (13) - 100% Postconsumer-recycelt
30,PDSIPO0404C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
31,PDSIPO0404E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
32,PDSIPO0404S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
33,PDSIPO0804C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
34,PDSIPO0804E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
35,PDSIPO0804S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
36,PDSIPO1204C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
37,PDSIPO1204E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
38,PDSIPO1204S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,1,1,13,,Stoffgruppe Sitzpolster,Polyester (13) - 100% Postconsumer-recycelt
39,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,2,0,14,,Stoffgruppe,Polyester (14)
40,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,2,0,14,,Stoffgruppe,Polyester (14)
41,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,2,0,14,,Stoffgruppe,Polyester (14)
42,PDSIPO0404C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
43,PDSIPO0404E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
44,PDSIPO0404S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
45,PDSIPO0804C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
46,PDSIPO0804E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
47,PDSIPO0804S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
48,PDSIPO1204C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
49,PDSIPO1204E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
50,PDSIPO1204S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,2,0,14,,Stoffgruppe Sitzpolster,Polyester (14)
51,PDARMLC,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,3,0,20,,Stoffgruppe,Xtreme FR (20)
52,PDARMLE,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,3,0,20,,Stoffgruppe,Xtreme FR (20)
53,PDARMLS,C,KN,podeste,0,1,ZUBEHOER131_A,STOFFGR,2,1,0,C,3,0,20,,Stoffgruppe,Xtreme FR (20)
54,PDSIPO0404C,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,3,0,20,,Stoffgruppe Sitzpolster,Xtreme FR (20)
55,PDSIPO0404E,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,3,0,20,,Stoffgruppe Sitzpolster,Xtreme FR (20)
56,PDSIPO0404S,C,KN,podeste,0,1,POLSTER131_A,STOFFGR_2,2,1,0,C,3,0,20,,Stoffgruppe Sitzpolster,Xtreme FR (20)
