,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,PABAHP2C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
1,PABAHP2C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
2,PABAHP2C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
3,PABAHP2C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
4,PABAHP2C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
5,PABAHP2E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
6,PABAHP2E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
7,PABAHP2E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
8,PABAHP2E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
9,PABAHP2E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
10,PABAHP2L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
11,PABAHP2L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
12,PABAHP2L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
13,PABAHP2L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
14,PABAHP2L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
15,PABAHP2P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
16,PABAHP2P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
17,PABAHP2P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
18,PABAHP2P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
19,PABAHP2P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
20,PABAHP2S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
21,PABAHP2S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
22,PABAHP2S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
23,PABAHP2S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
24,PABAHP2S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
25,PABAHP3C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
26,PABAHP3C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
27,PABAHP3C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
28,PABAHP3C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
29,PABAHP3C,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
30,PABAHP3E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
31,PABAHP3E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
32,PABAHP3E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
33,PABAHP3E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
34,PABAHP3E,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
35,PABAHP3L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
36,PABAHP3L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
37,PABAHP3L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
38,PABAHP3L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
39,PABAHP3L,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
40,PABAHP3P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
41,PABAHP3P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,2,0,STANDARD,,Preisgruppe Stoff,Standard
42,PABAHP3P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,3,0,COMFORT,,Preisgruppe Stoff,Comfort
43,PABAHP3P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,4,0,PREMIUM,,Preisgruppe Stoff,Premium
44,PABAHP3P,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,5,0,LEDER,,Preisgruppe Stoff,Leder Exklusiv
45,PABAHP3S,C,KN,publica,131909,1,BANK79_L,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Preisgruppe Stoff,Economy
