,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,1,0,KS,,Farbe Gestell,Schwarz
1,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,1,0,KS,,Farbe Gestell,Schwarz
2,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,1,0,KS,,Farbe Gestell,Schwarz
3,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,1,0,KS,,Farbe Gestell,Schwarz
4,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,2,1,WI,,Farbe Gestell,Reinweiß
5,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,2,1,WI,,Farbe Gestell,Reinweiß
6,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,2,1,WI,,Farbe Gestell,Reinweiß
7,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,F103,1,1,0,C,2,1,WI,,Farbe Gestell,Reinweiß
8,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,STOFFKATEGORIE_1,2,1,0,R,1,1,ECONOMY,,Stoffkategorie,Economy
9,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,STOFFKATEGORIE_1,2,1,0,R,1,1,ECONOMY,,Stoffkategorie,Economy
10,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,STOFFKATEGORIE_1,2,1,0,R,1,1,ECONOMY,,Stoffkategorie,Economy
11,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,STOFFKATEGORIE_1,2,1,0,R,1,1,ECONOMY,,Stoffkategorie,Economy
12,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,STOFFGR_2,3,1,0,C,1,1,14,,Stoffgruppe,Polyester (14)
13,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,STOFFGR_2,3,1,0,C,1,1,14,,Stoffgruppe,Polyester (14)
14,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,STOFFGR_2,3,1,0,C,1,1,14,,Stoffgruppe,Polyester (14)
15,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,STOFFGR_2,3,1,0,C,1,1,14,,Stoffgruppe,Polyester (14)
16,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,1,0,1425,,Farbe Sitzpolster,1425 Beige
17,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,1,0,1425,,Farbe Sitzpolster,1425 Beige
18,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,1,0,1425,,Farbe Sitzpolster,1425 Beige
19,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,1,0,1425,,Farbe Sitzpolster,1425 Beige
20,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,2,0,1430,,Farbe Sitzpolster,1430 Seegrün
21,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,2,0,1430,,Farbe Sitzpolster,1430 Seegrün
22,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,2,0,1430,,Farbe Sitzpolster,1430 Seegrün
23,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,2,0,1430,,Farbe Sitzpolster,1430 Seegrün
24,Q3HO1SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,3,1,1434,,Farbe Sitzpolster,1434 Apfelgrün
25,Q3HO1WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,3,1,1434,,Farbe Sitzpolster,1434 Apfelgrün
26,Q3HO2SE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,3,1,1434,,Farbe Sitzpolster,1434 Apfelgrün
27,Q3HO2WE,C,KN,quick3,0,1,STEHHILFE,F100,4,1,0,C,3,1,1434,,Farbe Sitzpolster,1434 Apfelgrün
