,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,QBOT01,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,1,1,K,,Oberfläche Box außen,Kunststoff
1,QBOT01,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,2,0,CO,,Oberfläche Box außen,Color
2,QBOT02,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,1,1,K,,Oberfläche Box außen,Kunststoff
3,QBOT02,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,2,0,CO,,Oberfläche Box außen,Color
4,QBST01,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,1,1,K,,Oberfläche Box außen,Kunststoff
5,QBST01,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,2,0,CO,,Oberfläche Box außen,Color
6,QBST02,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,1,1,K,,Oberfläche Box außen,Kunststoff
7,QBST02,C,KN,quietbox,0,1,AUSSEN,OBFL21,1,1,0,C,2,0,CO,,Oberfläche Box außen,Color
8,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,1,1,WI,,Farbe Box außen,Reinweiß
9,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,2,0,KT,,Farbe Box außen,Alufarbig Kunststoff
10,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,3,0,SC,,Farbe Box außen,Schwarz
11,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,4,0,GW,,Farbe Box außen,Grauweiß
12,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,5,0,GK,,Farbe Box außen,Grau
13,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,6,0,MA,,Farbe Box außen,Anthrazit
14,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,7,0,KH,,Farbe Box außen,Lichtgrau
15,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,8,0,9R,,Farbe Box außen,Mittelgrau
16,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,9,0,9S,,Farbe Box außen,Beton Optik
17,QBOT01,C,KN,quietbox,0,1,AUSSEN,F192,2,1,0,C,10,0,9T,,Farbe Box außen,Beige
