,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,1,1,ELO,,Oberfläche Konstruktion,eloxiert
1,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,2,0,PU,,Oberfläche Konstruktion,pulverbeschichtet
2,QB2OT02,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,1,1,ELO,,Oberfläche Konstruktion,eloxiert
3,QB2OT02,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,2,0,PU,,Oberfläche Konstruktion,pulverbeschichtet
4,QB2ST01,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,1,1,ELO,,Oberfläche Konstruktion,eloxiert
5,QB2ST01,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,2,0,PU,,Oberfläche Konstruktion,pulverbeschichtet
6,QB2ST02,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,1,1,ELO,,Oberfläche Konstruktion,eloxiert
7,QB2ST02,C,KN,quietboxduo,16168,1,AUSSEN,OBFL21,1,1,0,C,2,0,PU,,Oberfläche Konstruktion,pulverbeschichtet
8,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,1,1,NR,,Farbe Konstruktion,Aluminium
9,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,2,0,KSS,,Farbe Konstruktion,Schwarz
10,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,3,0,WIS,,Farbe Konstruktion,Weiß
11,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,4,0,MAS,,Farbe Konstruktion,Anthrazit
12,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,5,0,KHS,,Farbe Konstruktion,Lichtgrau
13,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,6,0,BES,,Farbe Konstruktion,RAL 7023 Beton
14,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,7,0,YDS,,Farbe Konstruktion,RAL 7002 Oliv
15,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,8,0,WJS,,Farbe Konstruktion,RAL 3020 Rot
16,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,9,0,WZS,,Farbe Konstruktion,RAL 2003 Orange
17,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,10,0,QFS,,Farbe Konstruktion,RAL 1023 Gelb
18,QB2OT01,C,KN,quietboxduo,16168,1,AUSSEN,F192,2,1,0,C,11,0,GNS,,Farbe Konstruktion,RAL 6010 Grün
