,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,QB2STBE0A,C,KN,quietboxduoxl,0,1,STEHTISCH,OBFL03,1,1,0,C,1,1,K,,Oberfläche,Kunststoff
1,QB2STBE0A,C,KN,quietboxduoxl,0,1,STEHTISCH,F20,2,1,0,C,1,1,WI,,Farbe Korpus,Reinweiß
2,QB2XLOT01,C,KN,quietboxduoxl,16183,1,AUSSEN,F212,5,1,0,C,9,1,WI,,Farbe Box außen,Reinweiß
3,QB2XLOT02,C,KN,quietboxduoxl,16183,1,AUSSEN,F212,5,1,0,C,9,1,WI,,Farbe Box außen,Reinweiß
4,QB2XLST01,C,KN,quietboxduoxl,16183,1,AUSSEN,F212,5,1,0,C,9,1,WI,,Farbe Box außen,Reinweiß
5,QB2XLST02,C,KN,quietboxduoxl,16183,1,AUSSEN,F212,5,1,0,C,9,1,WI,,Farbe Box außen,Reinweiß
6,QB2XLOT01,C,KN,quietboxduoxl,16183,1,AUSSEN,F205,7,1,0,R,9,1,WI,,Farbe Außenwand links,Reinweiß
7,QB2XLOT02,C,KN,quietboxduoxl,16183,1,AUSSEN,F205,7,1,0,R,9,1,WI,,Farbe Außenwand links,Reinweiß
8,QB2XLST01,C,KN,quietboxduoxl,16183,1,AUSSEN,F205,7,1,0,R,9,1,WI,,Farbe Außenwand links,Reinweiß
9,QB2XLST02,C,KN,quietboxduoxl,16183,1,AUSSEN,F205,7,1,0,R,9,1,WI,,Farbe Außenwand links,Reinweiß
10,QB2XLOT01,C,KN,quietboxduoxl,16183,1,AUSSEN,F204,9,1,0,R,9,1,WI,,Farbe Außenwand rechts,Reinweiß
11,QB2XLOT02,C,KN,quietboxduoxl,16183,1,AUSSEN,F204,9,1,0,R,9,1,WI,,Farbe Außenwand rechts,Reinweiß
12,QB2XLST01,C,KN,quietboxduoxl,16183,1,AUSSEN,F204,9,1,0,R,9,1,WI,,Farbe Außenwand rechts,Reinweiß
13,QB2XLST02,C,KN,quietboxduoxl,16183,1,AUSSEN,F204,9,1,0,R,9,1,WI,,Farbe Außenwand rechts,Reinweiß
14,QB2XLOT01,C,KN,quietboxduoxl,16183,1,AUSSEN,F206,11,1,0,RV,9,1,WI,,Farbe Rückwand außen,Reinweiß
15,QB2XLOT02,C,KN,quietboxduoxl,16183,1,AUSSEN,F206,11,1,0,RV,9,1,WI,,Farbe Rückwand außen,Reinweiß
16,QB2XLST01,C,KN,quietboxduoxl,16183,1,AUSSEN,F206,11,1,0,RV,9,1,WI,,Farbe Rückwand außen,Reinweiß
17,QB2XLST02,C,KN,quietboxduoxl,16183,1,AUSSEN,F206,11,1,0,RV,9,1,WI,,Farbe Rückwand außen,Reinweiß
18,QB2XLOT01,C,KN,quietboxduoxl,16183,1,AUSSEN,F320,12,1,0,C,3,0,WI,,Farbe Beschläge,Reinweiß
