,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,PNESBAI30W,C,KN,screens,112634,1,STOFFBLENDE_I30_G,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
1,PNESBFI30W,C,KN,screens,112635,1,STOFFBLENDE_I30_D,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
2,PNESBI30W,C,KN,screens,112635,1,STOFFBLENDE_I30_D,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
3,PNESBMI30W,C,KN,screens,112635,1,STOFFBLENDE_I30_D_H_VERST,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
4,PNESBRELW,C,KN,screens,111207,1,RELING_STOFF,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
5,PNESBSBI30W,C,KN,screens,112636,1,STOFFBLENDE_I30_E_H_VERST,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
6,PNESBSFI30W,C,KN,screens,112637,1,STOFFBLENDE_I30_E,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
7,PNESBSI30W,C,KN,screens,112633,1,STOFFBLENDE_I30_E,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
8,PNESBTAI30W,C,KN,screens,112634,1,STOFFBLENDE_I30_F,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
9,PNEZR01,C,KN,screens,113430,1,ZUBEHOER133_ANBAU_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
10,PNEZR02,C,KN,screens,113430,1,ZUBEHOER133_ANBAU_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
11,PNEZR03,C,KN,screens,113430,1,ZUBEHOER133_ANBAU_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
12,PNEZR04,C,KN,screens,113430,1,ZUBEHOER133_ANBAU_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
13,PNEZR10,C,KN,screens,113430,1,ZUBEHOER133_A_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
14,PNEZR14,C,KN,screens,113430,1,ZUBEHOER133_A_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
15,PNEZR26,C,KN,screens,113430,1,ZUBEHOER133_A_I30,GST_DESIGN,1,1,0,C,1,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
16,PNFLIPSTW,C,KN,screens,112640,1,ZUBEHOER133_E,GST_DESIGN,2,1,0,C,2,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
17,PNWHBSTW,C,KN,screens,112641,1,ZUBEHOER133_E,GST_DESIGN,2,1,0,C,2,0,L2,,Modell/Serie,TALO.YOU  Rundrohr
