,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
1,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
2,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
3,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
4,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
5,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
6,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,1,1,WI,,Farbe Platte,Reinweiß
7,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,2,0,GK,,Farbe Platte,Grau
8,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,3,0,GW,,Farbe Platte,Grauweiß
9,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,4,0,KH,,Farbe Platte,Lichtgrau
10,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,5,0,KT,,Farbe Platte,Alufarbig Kunststoff
11,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,6,0,UM,,Farbe Platte,Uni Melange
12,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,7,0,AA,,Farbe Platte,Akazie
13,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,8,0,AO,,Farbe Platte,Ahorn
14,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,9,0,UL,,Farbe Platte,Ulme
15,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,10,0,MB,,Farbe Platte,Buche
16,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,11,0,ET,,Farbe Platte,Eiche Natur
17,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,12,0,NM,,Farbe Platte,Nussbaum
18,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,13,0,9L,,Farbe Platte,"Eiche HALIFAX, natur"
19,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,14,0,9R,,Farbe Platte,Mittelgrau
20,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,15,0,9S,,Farbe Platte,Beton Optik
21,SOAP116887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,16,0,9T,,Farbe Platte,Beige
22,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,1,1,WI,,Farbe Platte,Reinweiß
23,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,2,0,GK,,Farbe Platte,Grau
24,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,3,0,GW,,Farbe Platte,Grauweiß
25,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,4,0,KH,,Farbe Platte,Lichtgrau
26,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,5,0,KT,,Farbe Platte,Alufarbig Kunststoff
27,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,6,0,UM,,Farbe Platte,Uni Melange
28,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,7,0,AA,,Farbe Platte,Akazie
29,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,8,0,AO,,Farbe Platte,Ahorn
30,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,9,0,UL,,Farbe Platte,Ulme
31,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,10,0,MB,,Farbe Platte,Buche
32,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,11,0,ET,,Farbe Platte,Eiche Natur
33,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,12,0,NM,,Farbe Platte,Nussbaum
34,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,13,0,9L,,Farbe Platte,"Eiche HALIFAX, natur"
35,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,14,0,9R,,Farbe Platte,Mittelgrau
36,SOAP216887A,C,KN,standby2,123746,1,ARBEITSPLATZ124_A,F1,2,1,0,C,15,0,9S,,Farbe Platte,Beton Optik
