,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,SMBFT24100A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
1,SMBFT24100A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
2,SMBFT24100A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
3,SMBFT24100A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
4,SMBFT24103B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
5,SMBFT24103B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
6,SMBFT24103B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
7,SMBFT24103B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
8,SMBFT24120A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
9,SMBFT24120A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
10,SMBFT24120A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
11,SMBFT24120A,C,KN,summa,122546,1,TISCH13_B,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
12,SMBFT24123B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,1,1,KU,,Oberfläche,Kunststoff Uni
13,SMBFT24123B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,2,0,KD,,Oberfläche,Kunststoff Dekor
14,SMBFT24123B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,3,0,TD1,,Oberfläche,Trendkollektion
15,SMBFT24123B2,C,KN,summa,0,1,TISCH13_B,OBFL01,1,1,0,C,4,0,FU2,,Oberfläche,Furniergruppe 2
