,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,TXBANK09440W,C,KN,talkbox,0,1,BANK,STOFFKATEGORIE_12,1,1,0,C,1,1,STAN,,Stoffgruppe Sitzpolster,Standard
1,TXOT01,C,KN,talkbox,16168,1,EINRICHTUNG,STOFFKATEGORIE_12,2,1,0,C,1,1,STAN,,Stoffgruppe Sitzpolster,Standard
2,TXOT02,C,KN,talkbox,16168,1,EINRICHTUNG,STOFFKATEGORIE_12,2,1,0,C,1,1,STAN,,Stoffgruppe Sitzpolster,Standard
3,TXST01,C,KN,talkbox,16168,1,EINRICHTUNG,STOFFKATEGORIE_12,2,1,0,C,1,1,STAN,,Stoffgruppe Sitzpolster,Standard
4,TXST02,C,KN,talkbox,16168,1,EINRICHTUNG,STOFFKATEGORIE_12,2,1,0,C,1,1,STAN,,Stoffgruppe Sitzpolster,Standard
5,TXOT01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_5,2,1,0,C,1,1,STAN,,Stoffkategorie Innenwände,Standard
6,TXOT02,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_5,2,1,0,C,1,1,STAN,,Stoffkategorie Innenwände,Standard
7,TXST01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_5,2,1,0,C,1,1,STAN,,Stoffkategorie Innenwände,Standard
8,TXST02,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_5,2,1,0,C,1,1,STAN,,Stoffkategorie Innenwände,Standard
9,TXOT01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_11,6,1,0,RG,1,1,STAN,,Stoffkategorie Rückwand innen,Standard
10,TXOT02,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_11,6,1,0,RG,1,1,STAN,,Stoffkategorie Rückwand innen,Standard
11,TXST01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_11,6,1,0,RG,1,1,STAN,,Stoffkategorie Rückwand innen,Standard
12,TXST02,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_11,6,1,0,RG,1,1,STAN,,Stoffkategorie Rückwand innen,Standard
13,TXOT01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_4,10,1,0,RG,1,1,STAN,,Stoffkategorie Innenwand rechts,Standard
14,TXOT02,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_4,10,1,0,RG,1,1,STAN,,Stoffkategorie Innenwand rechts,Standard
15,TXST01,C,KN,talkbox,16168,3,INNEN,STOFFKATEGORIE_4,10,1,0,RG,1,1,STAN,,Stoffkategorie Innenwand rechts,Standard
