,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,TSDE1015FW,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
1,TSDE1015FW1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
2,TSESB8060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
3,TSESBFB41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
4,TSESBFB41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
5,TSESBFB41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
6,TSESBFB41840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
7,TSESBFB42040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
8,TSESBFB42040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
9,TSESBFD41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
10,TSESBFD41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
11,TSESBFD41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
12,TSESBFD41840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
13,TSESBFD42040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
14,TSESBFD42040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
15,TSESBFM1250W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
16,TSESBFM1250W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
17,TSESBFM1260W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
18,TSESBFM1260W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
19,TSESBFM1450W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
20,TSESBFM1450W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
21,TSESBFM1460W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
22,TSESBFM1460W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
23,TSESBFM1650W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
24,TSESBFM1650W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
25,TSESBFM1660W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
26,TSESBFM1660W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
27,TSESBFM1850W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
28,TSESBFM1850W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
29,TSESBFM1860W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
30,TSESBFM1860W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
31,TSESBFM2050W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
32,TSESBFM2050W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
33,TSESBFM2060W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
34,TSESBFM2060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
35,TSESBFTL1269W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
36,TSESBFTL1269W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
37,TSESBFTL1469W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
38,TSESBFTL1469W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
39,TSESBFTL1640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
40,TSESBFTL1640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
41,TSESBFTL1669W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
42,TSESBFTL1669W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
43,TSESBFTL1840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
44,TSESBFTL1840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
45,TSESBFTL2040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
46,TSESBFTL2040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
47,TSESBD1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
48,TSESBD6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
49,TSESBD6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
50,TSESBR1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
51,TSESBR6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
52,TSESBR6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
53,TSESBW1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
54,TSESBW6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
55,TSESBW6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
56,TSDE1015W,C,KN,teamworkspace,0,1,STOFFBLENDE104_A,OBFL01,1,0,0,C,1,0,ST,,Oberfläche,Stoff
57,TSDE1015FW,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
58,TSDE1015FW1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
59,TSESB8060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
60,TSESBFB41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
61,TSESBFB41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
62,TSESBFB41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
63,TSESBFB41840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
64,TSESBFB42040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
65,TSESBFB42040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
66,TSESBFD41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
67,TSESBFD41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
68,TSESBFD41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
69,TSESBFD41840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
70,TSESBFD42040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
71,TSESBFD42040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
72,TSESBFM1250W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
73,TSESBFM1250W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
74,TSESBFM1260W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
75,TSESBFM1260W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
76,TSESBFM1450W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
77,TSESBFM1450W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
78,TSESBFM1460W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
79,TSESBFM1460W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
80,TSESBFM1650W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
81,TSESBFM1650W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
82,TSESBFM1660W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
83,TSESBFM1660W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
84,TSESBFM1850W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
85,TSESBFM1850W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
86,TSESBFM1860W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
87,TSESBFM1860W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
88,TSESBFM2050W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
89,TSESBFM2050W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
90,TSESBFM2060W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
91,TSESBFM2060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
92,TSESBFTL1269W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
93,TSESBFTL1269W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
94,TSESBFTL1469W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
95,TSESBFTL1469W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
96,TSESBFTL1640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
97,TSESBFTL1640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
98,TSESBFTL1669W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
99,TSESBFTL1669W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
100,TSESBFTL1840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
101,TSESBFTL1840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
102,TSESBFTL2040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
103,TSESBFTL2040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
104,TSESBD1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
105,TSESBD6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
106,TSESBD6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
107,TSESBR1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
108,TSESBR6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
109,TSESBR6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
110,TSESBW1212W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
111,TSESBW6012W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
112,TSESBW6060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_C,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
113,TSDE1015W,C,KN,teamworkspace,0,1,STOFFBLENDE104_A,OBFL01,1,0,0,C,2,0,X1,,Oberfläche,Stoff schallschluckend
114,TSDE1015FW,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
115,TSDE1015FW1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
116,TSESB8060W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
117,TSESBFB41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
118,TSESBFB41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
119,TSESBFB41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
120,TSESBFB41840W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
121,TSESBFB42040W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
122,TSESBFB42040W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
123,TSESBFD41640W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
124,TSESBFD41640W1,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
125,TSESBFD41840W,C,KN,teamworkspace,0,1,STOFFBLENDE104_B,STOFFKATEGORIE,2,1,0,C,1,1,ECON,,Stoffkategorie,Economy
