,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,TNBDH22D200C,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
1,TNBDH2D200E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
2,TNBDH2D200L,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
3,TNBDH2D200P,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
4,TNBDH2D200S,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
5,TNBDH2D20C,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
6,TNBDH2D20E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
7,TNBDH2D20L,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
8,TNBDH2D20P,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
9,TNBDH2D20S,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
10,TNBDH2D2C,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
11,TNBDH2D2E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
12,TNBDH2D2L,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
13,TNBDH2D2P,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
14,TNBDH2D2S,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
15,TNBDH2G200E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
16,TNBDH2G20E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
17,TNBDH2G2E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
18,TNBDH2N200C,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
19,TNBDH2N200E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
20,TNBDH2N200L,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
21,TNBDH2N200P,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
22,TNBDH2N200S,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
23,TNBDH2N20C,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
24,TNBDH2N20E,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
25,TNBDH2N20L,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
26,TNBDH2N20P,C,KN,tensanext,0,1,DREHSTUHL117_A,STOFFKATEGORIE_1,1,1,0,R,1,0,ECONOMY,,Stoffkategorie f. Stuhl,Economy
