,article_nr,art_type,manufacturer,series,rel_obj_x,pos_class,prop_class,property,pos_prop,need_input,restrictable,scope,pos_pval,is_default,value_from,value_to,prop_text,pval_text
0,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,B1_TI,1,1,0,R,1,1,400,,Breite,400 mm
1,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,B1_TI,1,1,0,R,2,0,500,,Breite,500 mm
2,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,B1_TI,1,1,0,R,1,1,400,,Breite,400 mm
3,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,B1_TI,1,1,0,R,2,0,500,,Breite,500 mm
4,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,B1_TI,1,1,0,R,1,1,400,,Breite,400 mm
5,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,B1_TI,1,1,0,R,2,0,500,,Breite,500 mm
6,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,T1_TI,2,1,0,R,1,1,802,,Tiefe,800 mm
7,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,T1_TI,2,1,0,R,1,1,802,,Tiefe,800 mm
8,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,T1_TI,2,1,0,R,1,1,802,,Tiefe,800 mm
9,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,1,0,TT1,,zum Anbau an Tischtiefe,800 mm
10,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,2,0,TT2,,zum Anbau an Tischtiefe,900 mm
11,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,3,0,TT3,,zum Anbau an Tischtiefe,1000 mm
12,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,1,0,TT1,,zum Anbau an Tischtiefe,800 mm
13,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,2,0,TT2,,zum Anbau an Tischtiefe,900 mm
14,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,3,0,TT3,,zum Anbau an Tischtiefe,1000 mm
15,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,1,0,TT1,,zum Anbau an Tischtiefe,800 mm
16,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,2,0,TT2,,zum Anbau an Tischtiefe,900 mm
17,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,ANB_TI_RETURN,3,1,0,C,3,0,TT3,,zum Anbau an Tischtiefe,1000 mm
18,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,GST_DESIGN,4,1,0,C,1,1,T2,,Modell/Serie,TALO.YOU - Quadratrohr
19,WPABESABOG,C,KN,workplace,167550,1,ANBAU135_B,GST_DESIGN,4,1,0,C,2,0,L2,,Modell/Serie,TALO.YOU - Rundrohr
20,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,GST_DESIGN,4,1,0,C,1,1,T2,,Modell/Serie,TALO.YOU - Quadratrohr
21,WPABESN,C,KN,workplace,167548,1,ANBAU135_B,GST_DESIGN,4,1,0,C,2,0,L2,,Modell/Serie,TALO.YOU - Rundrohr
22,WPABREGS,C,KN,workplace,167549,1,ANBAU135_B,GST_DESIGN,4,1,0,C,1,1,T2,,Modell/Serie,TALO.YOU - Quadratrohr
